review_id,product_id,customer_id,rating,review_text,review_date
1,7,188,5,Whole involve city decide southern card including natural.,2024-02-11
2,45,51,1,Check day writer sign better medical dark.,2024-02-13
3,8,99,1,Weight note discover strategy rather alone cultural.,2025-01-03
4,6,67,3,Evidence people improve card serious.,2023-11-20
5,15,99,5,Series car mouth check hold.,2024-10-28
6,42,137,3,Task debate world season star huge phone north.,2025-02-11
7,11,134,1,Particularly Mr evidence situation indicate build onto she.,2024-02-01
8,23,74,5,Onto can subject answer or live summer.,2024-04-05
9,21,85,3,Window dinner move mention party table usually action.,2024-11-19
10,6,179,3,Car executive pay physical.,2024-06-30
11,16,167,3,Plant respond quickly option because.,2024-12-24
12,13,96,1,Cover however can sound.,2024-06-20
13,42,23,5,Work you music realize.,2023-10-28
14,87,79,2,Order defense century.,2025-03-14
15,67,72,1,Amount drop watch.,2023-08-03
16,44,187,4,Message friend computer learn.,2024-11-29
17,8,183,3,Tax ball meet science notice color issue.,2023-07-29
18,50,88,4,Worker past answer fall work project.,2025-04-25
19,37,41,2,Continue wrong decade citizen them sense.,2023-08-19
20,95,126,2,Eight son fine.,2024-04-11
21,35,27,3,Computer crime whole.,2025-03-25
22,4,43,5,Possible effort history visit task share concern.,2023-12-21
23,20,55,1,Order design stock during my area thank.,2024-11-18
24,97,19,3,Draw watch also speak.,2024-07-21
25,25,163,3,Coach science kid exactly.,2025-03-19
26,40,153,3,Room pay bit over.,2024-07-28
27,14,10,4,Start thought American.,2025-02-13
28,97,116,1,On turn apply garden kid couple pass.,2025-05-28
29,47,29,3,Plant style guess house law you easy.,2024-01-02
30,33,146,3,Sign me yet cell significant.,2023-12-09
31,36,170,4,Since million travel five anyone spend wear.,2024-05-30
32,5,191,2,Source some attention food source.,2024-09-20
33,63,77,5,Human meeting force cause perhaps owner article.,2024-08-04
34,32,99,1,Second shoulder section strong child.,2023-11-30
35,87,190,5,Too rather cover popular.,2025-05-22
36,70,134,4,Color party memory stay nearly cell.,2024-11-16
37,28,96,3,Big despite sea west past.,2024-12-04
38,84,46,3,See actually believe sense particularly memory.,2024-08-18
39,6,154,2,Event environmental north treat maintain in.,2025-07-09
40,59,125,5,Use no third kitchen up day.,2023-11-28
41,48,74,1,Site around letter ball indicate development hospital.,2024-05-12
42,60,148,5,Machine bad prove entire.,2024-02-19
43,2,70,2,Attack today material collection.,2025-07-12
44,73,9,1,Light away will expect notice.,2024-06-11
45,97,129,1,Page raise fine policy.,2024-12-28
46,23,99,5,Receive glass record student less.,2024-07-07
47,48,71,4,Federal site local phone husband majority.,2024-04-01
48,64,18,4,Subject hard very task.,2025-02-09
49,55,43,4,Lose author picture season today.,2024-12-25
50,8,31,3,Dark personal easy will.,2024-09-17
51,58,39,4,Production third parent determine deep.,2024-06-10
52,23,146,5,Challenge guess idea lawyer.,2024-01-03
53,63,129,3,Beyond public government affect easy others bar.,2024-01-11
54,35,169,5,Matter manager there decade recognize.,2024-06-08
55,62,109,4,Happen site close goal.,2023-10-27
56,73,191,1,Entire seat determine dark.,2024-11-07
57,77,83,5,Little want edge attention them explain relationship tree.,2025-02-26
58,54,178,1,Now somebody particularly candidate surface peace idea.,2024-01-26
59,83,38,2,Card good evidence official.,2024-03-11
60,49,12,2,Serious share pressure quickly choice government life thus.,2024-05-22
61,40,147,3,This that difficult.,2024-03-23
62,55,177,5,Feeling beyond court civil.,2023-10-04
63,36,177,5,Pretty attorney cover.,2024-11-18
64,19,159,2,Instead event whole crime fall day.,2024-06-12
65,97,118,3,Model fear effect indeed.,2025-04-20
66,69,102,1,Nearly drop rule happen night from.,2023-08-18
67,96,30,5,White challenge range include international.,2024-09-12
68,60,23,2,Again the her direction girl today.,2024-09-28
69,47,44,1,Network wind century newspaper same recently yeah.,2025-03-23
70,38,47,5,Animal wait serve support good enjoy environmental.,2024-07-13
71,19,85,5,Crime new eye many Republican.,2025-03-04
72,49,167,5,Challenge national prevent though even should nation.,2024-01-22
73,73,29,4,Degree reduce daughter Democrat economy.,2024-10-25
74,68,145,4,I necessary stage child continue.,2025-06-02
75,67,150,1,Tree find analysis thought street.,2023-10-18
76,32,138,4,Seven real knowledge administration policy artist.,2024-06-17
77,82,114,2,Society father at image ahead effect great.,2024-10-06
78,37,158,3,Political people as.,2024-05-11
79,6,107,3,House call identify teach third.,2024-03-10
80,80,3,4,Force positive himself PM language possible yourself.,2024-10-23
81,92,143,1,White store but which any force.,2024-05-26
82,74,1,3,Avoid unit pass.,2024-06-23
83,80,135,2,Black enjoy while since.,2024-04-29
84,53,64,5,Light result poor those.,2024-12-04
85,11,143,1,Shake air career expect himself.,2023-10-04
86,67,55,1,Indeed town hundred affect middle reduce significant.,2024-02-04
87,51,99,3,Grow movement fine with.,2024-06-12
88,5,110,3,Class how direction less different country.,2024-04-01
89,74,20,3,Step over a despite gas my audience.,2024-06-12
90,50,96,1,Computer land poor.,2024-02-24
91,67,62,4,Less inside charge hotel company.,2024-09-21
92,20,65,3,Loss sense soldier behind we.,2024-10-19
93,68,82,5,Along with suffer relationship.,2024-12-19
94,78,59,2,Instead turn better we.,2025-06-22
95,84,154,2,People so management within strong forward newspaper.,2023-11-15
96,74,111,5,Argue energy shoulder performance imagine wish available.,2023-09-27
97,69,10,1,Model investment leader democratic response various left.,2025-03-09
98,65,2,1,Wrong night police work.,2023-07-31
99,49,105,5,Worker space help artist address responsibility.,2023-08-24
